ID,date_of_donation,donor_link,donation_huf,donor_gender,publishing_name,donation_type
1,2020. október 11. 20:43,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,10000,male,gave_name,both_of_them
2,2020. október 10. 10:25,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,2000,male,gave_name,both_of_them
3,2020. október 09. 20:39,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,NA,female,gave_name,only_name
4,2020. október 09. 14:33,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,NA,NA,anonymous,none_of_them
5,2020. október 08. 10:44,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,2000,male,gave_name,both_of_them
6,2020. október 07. 17:00,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,NA,male,gave_name,only_name
7,2020. október 07. 13:12,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,NA,female,gave_name,only_name
8,2020. október 04. 20:53,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,NA,female,gave_name,only_name
9,2020. október 02. 18:15,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,NA,male,gave_name,only_name
10,2020. október 01. 08:59,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,2000,female,gave_name,both_of_them
11,2020. szeptember 30. 20:51,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,NA,female,gave_name,only_name
12,2020. szeptember 30. 15:28,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,NA,NA,anonymous,none_of_them
13,2020. szeptember 28. 10:20,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,NA,NA,anonymous,none_of_them
14,2020. szeptember 28. 10:16,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,2000,female,gave_name,both_of_them
15,2020. szeptember 25. 15:08,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,2000,female,gave_name,both_of_them
16,2020. szeptember 24. 12:11,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,NA,NA,anonymous,none_of_them
17,2020. szeptember 21. 22:27,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,30000,female,gave_name,both_of_them
18,2020. szeptember 20. 10:20,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,7000,male,gave_name,both_of_them
19,2020. szeptember 17. 08:31,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,4000,female,gave_name,both_of_them
20,2020. szeptember 15. 18:55,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,2000,female,gave_name,both_of_them
21,2020. szeptember 15. 18:51,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,2000,male,gave_name,both_of_them
22,2020. szeptember 15. 11:56,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,3000,male,gave_name,both_of_them
23,2020. szeptember 13. 20:38,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,NA,NA,gave_name,only_name
24,2020. szeptember 13. 18:11,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,2000,NA,gave_name,both_of_them
25,2020. szeptember 12. 23:24,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,11000,NA,gave_name,both_of_them
26,2020. szeptember 12. 23:16,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,10000,male,gave_name,both_of_them
27,2020. szeptember 10. 12:08,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,2000,female,gave_name,both_of_them
28,2020. szeptember 10. 09:51,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,2000,male,gave_name,both_of_them
29,2020. szeptember 09. 23:10,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,NA,NA,anonymous,none_of_them
30,2020. szeptember 09. 14:40,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,2000,male,gave_name,both_of_them
31,2020. szeptember 09. 13:49,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,2000,male,gave_name,both_of_them
32,2020. szeptember 09. 13:38,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,2000,male,gave_name,both_of_them
33,2020. szeptember 09. 12:57,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,NA,NA,anonymous,none_of_them
